player_id,year,team
23206,1987,PHI
1700,2003,DAL
16441,2001,DAL
16441,2002,DAL
16441,2004,ARI
10083,1950,PIT
10083,1951,PIT
10839,2004,STL
10839,2005,STL
10839,2006,STL
10839,2007,STL
10839,2008,STL
10839,2009,STL
10839,2010,STL
10839,2011,STL
10839,2012,STL
10839,2013,ATL
10839,2014,ATL
10839,2015,NWE
1034,1982,NYJ
1034,1983,NYJ
1034,1984,NYJ
1034,1985,NYJ
1034,1986,NYJ
1034,1987,NYJ
1034,1988,NYJ
20682,1991,PIT
772,1998,MIA
772,1999,DEN
772,2003,MIN
15934,1998,MIN
15934,1999,MIN
15934,2000,MIN
15934,2001,MIN
15934,2002,MIN
15934,2003,MIN
15934,2004,MIN
15934,2005,OAK
15934,2006,OAK
15934,2007,NWE
15934,2008,NWE
15934,2009,NWE
15934,2010,TEN
15934,2012,SFO
9985,2005,HOU
9985,2006,HOU
9985,2007,HOU
1409,2007,CHI
1409,2008,CHI
1409,2009,CHI
23611,1977,TAM
4174,1976,SEA
4174,1978,NYG
4174,1979,NYG
27,1983,BAL
27,1984,SEA
27,1985,NYJ
27,1987,IND
10361,1987,TAM
15404,1979,WAS
15404,1980,WAS
15404,1981,WAS
15404,1982,WAS
15404,1983,WAS
15404,1984,WAS
15404,1985,WAS
15404,1986,WAS
15404,1987,WAS
1582,1960,DAL
1582,1961,DAL
9065,1978,WAS
14098,2012,JAX
14098,2013,DEN
14098,2014,DEN
14098,2015,DEN
14098,2016,DEN
14098,2017,DEN
15657,2016,BAL
15657,2017,BAL
15048,1983,HOU
15048,1984,HOU
20826,2003,DAL
5955,1970,CIN
5955,1971,CIN
5955,1972,CIN
5955,1974,CIN
5955,1975,KAN
15789,1974,DAL
15789,1975,PHI
19792,2004,MIN
19792,2005,MIN
19792,2006,MIN
19792,2007,MIN
19792,2010,WAS
19792,2011,WAS
12042,1967,PHI
12042,1970,PHI
12042,1971,PHI
7201,1987,NOR
7061,2004,SDG
7061,2006,SDG
7061,2007,SDG
7061,2008,SDG
7061,2009,SDG
7061,2010,SDG
7061,2011,SDG
7061,2012,SDG
7061,2013,SDG
7061,2014,SDG
7061,2015,SDG
901,1995,DAL
901,1999,KAN
7931,1986,HOU
7931,1987,HOU
7931,1988,HOU
7931,1989,HOU
7931,1990,HOU
7931,1991,HOU
7931,1992,HOU
7931,1993,HOU
7931,1994,HOU
7931,1995,JAX
10157,2016,OAK
10157,2017,OAK
14510,1950,NYG
14510,1951,NYG
14510,1952,NYG
3608,1987,IND
22349,1963,HOU
2447,1976,NWE
2447,1977,NWE
2447,1978,NWE
2447,1979,NWE
2447,1980,NWE
2447,1981,NWE
2447,1982,NWE
2447,1983,NWE
2447,1984,NWE
2447,1985,NWE
2447,1986,NWE
2447,1987,NWE
12878,2008,GNB
12878,2013,TAM
12878,2014,TAM
12878,2015,TAM
11479,1984,KAN
11479,1985,KAN
