player_id,name,position,birth_state,college,high_school_state,draft_team,draft_round,draft_year,birth_year,birth_state_abr,high_school_state_abr
8655,Rodney Gunter,DT,Florida,Delaware St.,Florida,Arizona Cardinals,4,2015,1992,FL,FL
6305,Ron Egloff,TE,Michigan,Wisconsin,Michigan,,,,1955,MI,MI
20064,John Shelburne,FB,Massachusetts,Dartmouth,Massachusetts,,,,1894,MA,MA
23398,Chris Watson,DB,Illinois,East. Illinois,Illinois,Denver Broncos,3,1999,1977,IL,IL
13665,Ray Lucas,QB,New Jersey,Rutgers,New Jersey,,,,1972,NJ,NJ
1996,Rik Bonness,LB,Texas,Nebraska,Nebraska,Oakland Raiders,3,1976,1954,TX,NE
25000,Paul Ziegler,B,Ohio,none,Ohio,,,,1898,OH,OH
1584,Paul Berezney,T,New Jersey,Fordham,New Jersey,,,,1915,NJ,NJ
10123,Jack Holmes,RB,Mississippi,Texas Southern,Mississippi,Houston Oilers,15,1975,1953,MS,MS
5850,DeWayne Dotson,LB,Tennessee,Tennessee,Tennessee,Dallas Cowboys,4,1994,1971,TN,TN
8912,Gary Hammond,WR-RB,Texas,SMU,Texas,New York Jets,3,1972,1949,TX,TX
14983,Clifton McNeil,WR-FL-SE,Alabama,Grambling St.,Alabama,Cleveland Browns,11,1962,1940,AL,AL
18278,Frank Reagan,B,Pennsylvania,Pennsylvania,Pennsylvania,New York Giants,3,1941,1919,PA,PA
9284,Doug Hart,DB,Texas,Texas-Arlington,Texas,,,,1939,TX,TX
410,Bennie Anderson,G,Missouri,Tennessee St.,Missouri,,,,1977,MO,MO
22686,George Tuttle,E,Minnesota,Minnesota,Minnesota,,,,1905,MN,MN
15405,Century Milstead,T,Pennsylvania,Wabash,Illinois,,,,1901,PA,IL
18461,Dennis Remmert,LB,Iowa,Northern Iowa,Iowa,,,,1938,IA,IA
11325,Kenneth Johnson,DB,Mississippi,Mississippi St.,Mississippi,,,,1963,MS,MS
4177,Barry Cofield,DT,Ohio,Northwestern,Ohio,New York Giants,4,2006,1984,OH,OH
11859,Karl Kaimer,DE,New Jersey,Boston Univ.,New Jersey,,,,1938,NJ,NJ
10037,Steve Hokuf,B-E,Nebraska,Nebraska,Nebraska,,,,1910,NE,NE
8314,Kevin Gray,DB,Illinois,East. Illinois,Illinois,,,,1957,IL,IL
18403,Tom Regner,G,Wisconsin,Notre Dame,Wisconsin,Houston Oilers,1,1967,1944,WI,WI
24833,Bob Yates,T-C,Vermont,Syracuse,Vermont,New York Giants,7,1960,1938,VT,VT
10248,Mike Houghton,G-T,California,San Diego St.,California,Green Bay Packers,6,2002,1979,CA,CA
11534,Chris Jones,DT,Texas,Mississippi St.,Mississippi,Kansas City Chiefs,2,2016,1994,TX,MS
19323,Sod Ryan,T,Illinois,Detroit Mercy,Texas,,,,1905,IL,TX
7746,Fred Gehrke,HB,Utah,Utah,Utah,,,,1918,UT,UT
21095,Haskel Stanback,RB,North Carolina,Tennessee,North Carolina,Cincinnati Bengals,5,1974,1952,NC,NC
11081,Jonas Jennings,T,Georgia,Georgia,Georgia,Buffalo Bills,3,2001,1977,GA,GA
18984,Charles Rogers,WR,Michigan,Michigan St.,Michigan,Detroit Lions,1,2003,1981,MI,MI
15353,Paul Miller,HB,South Dakota,South Dakota St.,South Dakota,,,,1913,SD,SD
15299,Cleo Miller,RB,Arkansas,Ark-Pine Bluff,Arkansas,,,,1952,AR,AR
6783,Gene Fekete,FB-LB,Ohio,Ohio St.,Ohio,Detroit Lions,6,1945,1922,OH,OH
10266,Lin Houston,G,Illinois,Ohio St.,Ohio,Chicago Bears,11,1944,1921,IL,OH
2351,Billy Brewer,DB,Mississippi,Mississippi,Mississippi,Washington Redskins,20,1959,1934,MS,MS
8473,Garland Gregory,G-LB,Louisiana,Louisiana Tech,Louisiana,,,,1919,LA,LA
1492,Bob Bellinger,G,Washington,Gonzaga,Washington,,,,1913,WA,WA
4018,Will Clarke,DE,Pennsylvania,West Virginia,Pennsylvania,Cincinnati Bengals,3,2014,1991,PA,PA
16956,Rich Owens,DE-DT,Pennsylvania,Lehigh,Pennsylvania,Washington Redskins,5,1995,1972,PA,PA
9664,Tom Henry,WB,Illinois,LSU,Illinois,,,,1895,IL,IL
7394,Jim Fritzsche,T-G,Ohio,Purdue,Ohio,Philadelphia Eagles,8,1982,1960,OH,OH
18364,Rock Reed,HB,Arkansas,LSU,Louisiana,,,,1912,AR,LA
21152,Larry Station,LB,Nebraska,Iowa,Nebraska,Pittsburgh Steelers,11,1986,1963,NE,NE
7730,Akbar Gbaja-Biamila,DE,California,San Diego St.,California,,,,1979,CA,CA
9380,Kevin Haverdink,T,Michigan,West. Michigan,Michigan,New Orleans Saints,5,1989,1965,MI,MI
12677,Bert Kuczynski,E,Pennsylvania,Pennsylvania,Pennsylvania,Detroit Lions,19,1943,1920,PA,PA
17184,Rupert Pate,G,North Carolina,Wake Forest,North Carolina,Chicago Cardinals,20,1940,1917,NC,NC
14479,Bryan McCann,DB,Oklahoma,SMU,Oklahoma,,,,1987,OK,OK
7173,Arian Foster,RB,California,Tennessee,California,,,,1986,CA,CA
23242,David Ward,LB,Arkansas,Southern Arkansas,Arkansas,,,,1964,AR,AR
23189,Ward Walsh,RB,California,Colorado,California,,,,1948,CA,CA
2875,Ray Bucek,G-LB,Texas,Texas A&M;,Texas,Phi/Pit Eagles/Steelers,19,1943,1922,TX,TX
24669,John Wooten,G,Texas,Colorado,New Mexico,Cleveland Browns,5,1959,1936,TX,NM
22546,Bob Trumpy,TE-WR,Illinois,Illinois,Illinois,Cincinnati Bengals,12,1968,1945,IL,IL
4592,Red Corzine,FB-BB,Illinois,Davis & Elkins,Illinois,,,,1909,IL,IL
7681,Michael Gasperson,WR,California,San Diego,California,,,,1982,CA,CA
4398,Shane Conlan,LB,New York,Penn St.,New York,Buffalo Bills,1,1987,1964,NY,NY
18589,Pete Richards,C,Pennsylvania,Swarthmore,Pennsylvania,,,,1905,PA,PA
804,Bob Babich,LB,Ohio,Miami (OH),Ohio,San Diego Chargers,1,1969,1947,OH,OH
15134,Monte Merkel,G,Iowa,Kansas,Wisconsin,,,,1916,IA,WI
20065,Derrick Shelby,DE,Texas,Utah,Texas,,,,1989,TX,TX
4546,Steve Corbett,G,New Hampshire,Boston Col.,New Hampshire,New England Patriots,2,1974,1951,NH,NH
16627,Milt O'Connell,E,New Jersey,Lafayette,Pennsylvania,,,,1900,NJ,PA
2967,Jim Bundren,G,Michigan,Clemson,Delaware,Miami Dolphins,7,1998,1974,MI,DE
16821,Ralph Olsen,DE,Utah,Utah,Utah,Green Bay Packers,32,1947,1924,UT,UT
18411,Bill Reichardt,FB,Iowa,Iowa,Iowa,Green Bay Packers,7,1952,1930,IA,IA
1367,Hub Bechtol,E,Texas,Texas,Texas,Pittsburgh Steelers,1,1947,1926,TX,TX
7426,Scott Fujita,LB,California,California,California,Kansas City Chiefs,5,2002,1979,CA,CA
2739,Ted Brown,RB,North Carolina,North Carolina St.,North Carolina,Minnesota Vikings,1,1979,1957,NC,NC
995,Chip Banks,LB,Oklahoma,USC,Georgia,Cleveland Browns,1,1982,1959,OK,GA
11490,Adrian Jones,T,Texas,Kansas,Texas,New York Jets,4,2004,1981,TX,TX
14421,Bob McAdams,DT,North Carolina,North Carolina Central,North Carolina,New York Giants,17,1963,1939,NC,NC
17074,Brian Parker,TE,New York,Albany,New York,,,,1992,NY,NY
2252,Don Bramlett,DT,Tennessee,Memphis,Tennessee,,,,1962,TN,TN
8470,Bill Gregory,DE-DT,Texas,Wisconsin,Texas,Dallas Cowboys,3,1971,1949,TX,TX
16866,Raheem Orr,LB,New Jersey,Rutgers,New Jersey,Houston Texans,7,2004,1980,NJ,NJ
17808,Lew Porter,WR,Mississippi,Southern,Mississippi,Denver Broncos,8,1970,1947,MS,MS
2361,Jim Brewington,T,North Carolina,North Carolina Central,North Carolina,Green Bay Packers,17,1961,1939,NC,NC
13972,Bob Mann,E,North Carolina,Michigan,North Carolina,,,,1924,NC,NC
12844,MacArthur Lane,RB,California,Utah St.,California,St. Louis Cardinals,1,1968,1942,CA,CA
799,Gene Babb,LB-FB,Texas,Austin,Texas,San Francisco 49ers,19,1957,1934,TX,TX
22638,Floyd Turner,WR,Louisiana,NW State (LA),Louisiana,New Orleans Saints,6,1989,1966,LA,LA
10623,Richie Incognito,G,New Jersey,Nebraska,Arizona,St. Louis Rams,3,2005,1983,NJ,AZ
18349,Joe Reed,QB,Rhode Island,Baylor,Texas,San Francisco 49ers,11,1971,1948,RI,TX
23902,Paul Wiggins,T,Oregon,Oregon,Oregon,Pittsburgh Steelers,3,1997,1973,OR,OR
3598,Tim Carter,WR,Georgia,Auburn,Florida,New York Giants,2,2002,1979,GA,FL
22841,Skip Vanderbundt,LB,California,Oregon St.,California,San Francisco 49ers,3,1968,1946,CA,CA
16630,Bob O'Connor,G-T-BB,New York,Stanford,New York,,,,1910,NY,NY
6004,Greg Ducre,CB,California,Washington,California,,,,1992,CA,CA
289,Dwayne Allen,TE,North Carolina,Clemson,North Carolina,Indianapolis Colts,3,2012,1990,NC,NC
22543,Olanda Truitt,WR,Alabama,Pittsburgh,Alabama,Los Angeles Raiders,5,1993,1971,AL,AL
2837,Bob Bryant,T,Oklahoma,Texas Tech,Texas,,,,1918,OK,TX
21662,Bob Sweiger,WB-BB-HB,Minnesota,Minnesota,Minnesota,New York Giants,3,1942,1919,MN,MN
18220,Kenyon Rasheed,FB,Missouri,Oklahoma,Missouri,,,,1970,MO,MO
20364,Mike Sims-Walker,WR,Florida,Central Florida,Florida,Jacksonville Jaguars,3,2007,1984,FL,FL
14971,Steve McNair,QB,Mississippi,Alcorn St.,Mississippi,Houston Oilers,1,1995,1973,MS,MS
20142,Billy Shipp,T,Alabama,Alabama,Alabama,New York Giants,8,1952,1930,AL,AL
2595,Dean Brown,DB,Georgia,Fort Valley St.,Georgia,,,,1945,GA,GA
313,Jimmy Allen,DB,Florida,Pierce College (CA),California,Pittsburgh Steelers,4,1974,1952,FL,CA
4342,Marc Colombo,T,Massachusetts,Boston Col.,Massachusetts,Chicago Bears,1,2002,1978,MA,MA
24409,Mule Wilson,WB-HB,Texas,Texas A&M;,Texas,,,,1901,TX,TX
3865,Jason Chorak,DE,Washington,Washington,Washington,St. Louis Rams,7,1998,1974,WA,WA
16885,Eldonta Osborne,LB,Louisiana,Louisiana Tech,Louisiana,,,,1967,LA,LA
7852,Wimpy Giddens,T,Louisiana,Louisiana Tech,Louisiana,,,,1914,LA,LA
18658,Dante Ridgeway,WR,Illinois,Ball St.,Illinois,St. Louis Rams,6,2005,1984,IL,IL
10412,Chuck Hughes,WR,Pennsylvania,Texas-El Paso,Texas,Philadelphia Eagles,4,1967,1943,PA,TX
16935,Brig Owens,DB,Texas,Cincinnati,California,Dallas Cowboys,7,1965,1943,TX,CA
16209,Nedu Ndukwe,DB,Virginia,Notre Dame,Ohio,Cincinnati Bengals,7,2007,1985,VA,OH
14440,Mike McBath,DE-DT-T,New Jersey,Penn St.,New Jersey,Buffalo Bills,5,1968,1946,NJ,NJ
14358,Tommy Maxwell,DB,Texas,Texas A&M;,Texas,Baltimore Colts,2,1969,1947,TX,TX
8414,Woody Green,RB,Oregon,Arizona St.,Oregon,Kansas City Chiefs,1,1974,1951,OR,OR
18057,Brad Pyatt,WR,Colorado,Kentucky,Colorado,,,,1980,CO,CO
11095,Jerry Jensen,LB,California,Washington,Washington,Carolina Panthers,5,1998,1975,CA,WA
230,Lorenzo Alexander,DT,California,California,California,,,,1983,CA,CA
11630,Jonathan Jones,DB,Georgia,Auburn,Georgia,,,,1993,GA,GA
